[2/9/23 11:06 AM]|Book|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1364: (conn=15377) Field 'status' doesn't have a default value>
[3/31/23 2:29 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1054: (conn=8291) Unknown column 'NYC' in 'field list'>
[3/31/23 2:30 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1364: (conn=8291) Field 'dateStatusUpdated' doesn't have a default value>
[4/3/23 10:02 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8830) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:02 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8830) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:02 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8830) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:02 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8830) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:02 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8830) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:02 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8830) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:02 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8830) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:02 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8830) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:02 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8830) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:03 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8830) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:03 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8831) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:04 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8831) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:04 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8831) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:07 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8832) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:07 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8832) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:07 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8832) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:08 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8832) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
[4/3/23 10:08 AM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=8833) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ''%Anh%)' at line 1>
